"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Leptospirales",0,0,0,0,0,0,1,2,1,0,0
"Spirochaetes_or",0,0,0,0,0,0,0,1,0,0,0
"Brevinematales",0,0,0,0,0,0,1,0,0,0,0
"Spirochaetales",0,0,0,0,0,1,8,9,14,0,0
"V2072-189E03_or",0,0,0,0,0,0,1,0,0,0,0
"TA06_or",0,0,0,0,0,0,0,1,0,0,0
"Haloplasmatales",0,0,0,0,0,1,0,0,0,0,0
"Chthoniobacterales",828,0,917,300,1,413,5,101,87,0,0
"Methylacidiphilales",0,0,0,0,0,0,0,0,3,0,0
"Opitutales",22,0,29,39,0,62,30,63,114,0,0
"Pedosphaerales",223,0,273,96,0,136,124,150,238,0,0
"S-BQ2-57_soil_group",1,0,4,1,0,2,0,1,7,0,0
"Verrucomicrobiae_unclassified",2,0,4,0,0,0,2,15,29,0,0
"Verrucomicrobiales",9,0,1,49,0,51,16,211,223,0,0
"WPS-2_or",1,0,0,6,0,5,0,3,2,0,0
"WS1_or",0,0,0,0,0,0,1,1,0,0,0
"WS2_or",5,0,2,9,0,15,0,7,9,0,0
"WS4_or",0,0,0,0,0,0,1,0,0,0,0
"Zixibacteria_or",0,0,0,0,0,0,6,11,6,0,0
