"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Fimbriimonadales_unclassified",0,0,0,0,0,1,0,4,3,0,0
"BRC1_ge",11,0,19,11,0,12,3,51,47,0,0
"Bacteria_unclassified",324,0,498,372,0,302,185,504,624,1,0
"Bacteroidetes_unclassified",0,0,0,6,0,1,0,13,18,0,0
"Bacteroidales_unclassified",0,0,0,0,0,0,4,0,1,0,0
"Bacteroidetes_BD2-2_ge",0,0,0,0,0,0,2,0,1,0,0
"Bacteroidetes_vadinHA17_ge",0,0,0,0,0,0,19,4,1,0,0
"Paludibacter",0,0,0,0,0,0,1,0,0,0,0
"Prevotella",0,0,0,0,0,0,0,0,0,15,0
"Prevotella_2",0,0,0,0,0,0,0,0,0,2,0
"Prevotella_7",0,0,0,1,0,0,0,0,0,0,0
"Prevotella_9",0,0,0,0,0,0,0,0,0,26,0
"Prolixibacteraceae_ge",0,0,0,0,0,0,4,0,0,0,0
"Prolixibacteraceae_unclassified",0,0,0,0,0,0,1,1,0,0,0
"Roseimarinus",0,0,0,0,0,0,1,0,0,0,0
"WCHB1-32",0,0,0,0,0,0,2,0,0,0,0
"A7P-90m",0,0,0,0,0,0,3,0,0,0,0
"Acetobacteroides",0,0,0,0,0,0,3,0,0,0,0
"Blvii28_wastewater-sludge_group",0,0,0,0,0,0,8,0,0,0,0
"Rikenellaceae_RC9_gut_group",0,0,0,0,0,0,0,0,0,1,0
"SB-5_ge",0,0,0,0,0,0,5,1,8,0,0
"Bacteroidia_unclassified",2,0,4,36,0,28,5,38,46,0,0
"37-13_ge",0,0,1,0,0,2,2,2,7,0,0
"Chitinophaga",0,0,1,0,0,0,0,0,0,0,0
"Chitinophagaceae_unclassified",55,0,52,159,0,176,8,15,24,1,0
"Cnuella",2,0,2,4,0,15,0,0,0,0,0
"Dinghuibacter",0,0,0,0,0,0,8,2,1,0,0
"Ferruginibacter",0,0,4,57,0,88,3,2,10,0,0
"Flaviaesturariibacter",0,0,0,3,0,0,0,0,0,0,0
"Flavihumibacter",0,0,0,0,0,0,0,3,2,0,0
"Flavisolibacter",20,0,41,151,0,206,8,4,3,5,0
"Flavitalea",3,0,6,3,0,18,0,0,2,0,0
"Lacibacter",0,0,0,0,0,0,4,7,5,0,0
"Niastella",7,0,5,2,0,1,0,2,2,0,0
"Parafilimonas",3,0,1,0,0,0,0,0,0,0,0
"Parasegetibacter",2,0,1,0,0,0,2,1,8,0,0
"Pseudoflavitalea",0,0,0,0,0,0,0,0,2,0,0
"Segetibacter",26,0,58,61,0,81,1,0,0,0,0
"Taibaiella",0,0,0,0,0,0,0,1,1,0,0
"Terrimonas",12,0,13,4,0,5,6,18,17,0,0
"UTBCD1",0,0,0,0,0,0,1,99,148,0,0
"Chitinophagales_unclassified",1,0,3,2,0,5,0,2,3,0,0
"Aureispira",0,0,0,0,0,0,0,0,2,0,0
"Haliscomenobacter",0,0,0,0,0,0,1,0,0,0,0
"Phaeodactylibacter",0,0,0,0,0,0,4,5,4,0,0
"Portibacter",0,0,0,0,0,0,0,5,3,0,0
"Saprospiraceae_unclassified",0,0,0,0,0,0,0,50,87,0,0
"Amoebophilaceae_unclassified",0,0,0,0,0,0,0,1,1,0,0
"Algoriphagus",0,0,0,0,0,0,9,120,181,0,0
"Belliella",0,0,0,0,0,0,0,0,1,0,0
"Cyclobacteriaceae_unclassified",0,0,0,0,0,2,0,78,87,0,0
"Cyclobacterium",0,0,0,0,0,0,0,3,4,0,0
"Ekhidna",0,0,0,0,0,0,0,4,5,0,0
"Fulvivirga",0,0,0,0,0,0,0,51,31,0,0
"Imperialibacter",0,0,0,0,0,0,0,3,2,0,0
"Lunatimonas",0,0,0,0,0,0,0,7,14,0,0
"Marinoscillum",0,0,0,0,0,0,0,12,13,0,0
"Marivirga",0,0,0,0,0,0,0,3,15,0,0
"Reichenbachiella",0,0,0,0,0,0,0,3,1,0,0
"Roseivirga",0,0,0,0,0,0,0,4,4,0,0
"Cytophaga",0,0,2,0,0,0,0,0,4,0,0
"Cytophagaceae_ge",0,0,0,4,0,7,0,0,0,0,0
"Cytophagaceae_unclassified",0,0,0,2,0,4,0,1,0,0,0
